TIME,BUY
2017-02-10T14:30:01.639,132.46
2017-02-10T14:30:06.674,132.47
2017-02-10T14:30:11.705,132.32
2017-02-10T14:30:16.732,132.3
2017-02-10T14:30:21.755,132.31
2017-02-10T14:30:26.777,132.43
2017-02-10T14:30:31.799,132.42
2017-02-10T14:30:36.821,132.44
2017-02-10T14:30:41.844,132.45
2017-02-10T14:30:46.873,132.47
2017-02-10T14:30:51.900,132.37
2017-02-10T14:30:56.930,132.37
2017-02-10T14:31:01.950,132.42
2017-02-10T14:31:06.979,132.44
2017-02-10T14:31:12.009,132.47
2017-02-10T14:31:17.042,132.63
2017-02-10T14:31:22.109,132.63
2017-02-10T14:31:26.148,132.69
2017-02-10T14:31:31.168,132.72
2017-02-10T14:31:36.196,132.73
2017-02-10T14:31:41.219,132.75
2017-02-10T14:31:46.242,132.68
2017-02-10T14:31:51.265,132.71
2017-02-10T14:31:56.291,132.64
2017-02-10T14:32:01.342,132.68
2017-02-10T14:32:06.401,132.71
2017-02-10T14:32:11.424,132.76
2017-02-10T14:32:16.448,132.77
2017-02-10T14:32:21.476,132.72
2017-02-10T14:32:26.501,132.72
2017-02-10T14:32:31.525,132.67
2017-02-10T14:32:36.542,132.67
2017-02-10T14:32:41.565,132.7
2017-02-10T14:32:46.586,132.74
2017-02-10T14:32:51.607,132.74
2017-02-10T14:32:56.628,132.67
2017-02-10T14:33:01.652,132.67
2017-02-10T14:33:06.686,132.66
2017-02-10T14:33:11.709,132.74
2017-02-10T14:33:16.732,132.79
2017-02-10T14:33:21.754,132.81
2017-02-10T14:33:26.776,132.8
2017-02-10T14:33:31.797,132.82
2017-02-10T14:33:36.817,132.8
2017-02-10T14:33:41.840,132.72
2017-02-10T14:33:46.862,132.62
2017-02-10T14:33:51.896,132.66
2017-02-10T14:33:56.930,132.69
2017-02-10T14:34:01.956,132.69
2017-02-10T14:34:06.992,132.68
2017-02-10T14:34:12.023,132.73
2017-02-10T14:34:17.058,132.77
2017-02-10T14:34:22.079,132.76
2017-02-10T14:34:27.101,132.74
2017-02-10T14:34:31.121,132.74
2017-02-10T14:34:36.159,132.75
2017-02-10T14:34:41.183,132.7
2017-02-10T14:34:46.205,132.7
2017-02-10T14:34:51.226,132.68
2017-02-10T14:34:56.246,132.67
2017-02-10T14:35:01.265,132.67
2017-02-10T14:35:06.323,132.67
2017-02-10T14:35:11.354,132.74
2017-02-10T14:35:16.379,132.7
2017-02-10T14:35:21.409,132.71
2017-02-10T14:35:26.445,132.73
2017-02-10T14:35:31.483,132.72
2017-02-10T14:35:36.506,132.73
2017-02-10T14:35:41.535,132.67
2017-02-10T14:35:46.563,132.6
2017-02-10T14:35:51.589,132.64
2017-02-10T14:35:56.614,132.63
2017-02-10T14:36:01.651,132.63
2017-02-10T14:36:06.686,132.62
2017-02-10T14:36:11.715,132.67
2017-02-10T14:36:16.745,132.7
2017-02-10T14:36:21.774,132.72
2017-02-10T14:36:26.801,132.72
2017-02-10T14:36:31.829,132.76
2017-02-10T14:36:36.855,132.77
2017-02-10T14:36:41.886,132.78
2017-02-10T14:36:46.920,132.76
2017-02-10T14:36:51.953,132.77
2017-02-10T14:36:56.999,132.76
2017-02-10T14:37:02.022,132.77
2017-02-10T14:37:07.045,132.77
2017-02-10T14:37:12.080,132.72
2017-02-10T14:37:16.106,132.68
2017-02-10T14:37:22.158,132.66
2017-02-10T14:37:26.182,132.68
2017-02-10T14:37:31.210,132.69
2017-02-10T14:37:36.234,132.71
2017-02-10T14:37:41.267,132.68
2017-02-10T14:37:46.293,132.73
2017-02-10T14:37:51.317,132.72
2017-02-10T14:37:56.337,132.73
2017-02-10T14:38:02.363,132.72
2017-02-10T14:38:06.384,132.7
2017-02-10T14:38:11.408,132.68
2017-02-10T14:38:16.435,132.7
2017-02-10T14:38:21.467,132.69
2017-02-10T14:38:26.504,132.69
2017-02-10T14:38:31.526,132.68
2017-02-10T14:38:36.550,132.67
2017-02-10T14:38:41.572,132.67
2017-02-10T14:38:46.598,132.67
2017-02-10T14:38:51.619,132.66
2017-02-10T14:38:56.639,132.66
2017-02-10T14:39:01.662,132.67
2017-02-10T14:39:06.696,132.66
2017-02-10T14:39:11.720,132.67
2017-02-10T14:39:16.769,132.66
2017-02-10T14:39:21.820,132.66
2017-02-10T14:39:26.857,132.63
2017-02-10T14:39:31.888,132.63
2017-02-10T14:39:36.919,132.63
2017-02-10T14:39:41.949,132.62
2017-02-10T14:39:46.989,132.57
2017-02-10T14:39:52.008,132.56
2017-02-10T14:39:57.042,132.59
2017-02-10T14:40:02.071,132.58
2017-02-10T14:40:07.098,132.57
2017-02-10T14:40:11.115,132.56
2017-02-10T14:40:16.166,132.44
2017-02-10T14:40:21.197,132.45
2017-02-10T14:40:26.220,132.45
2017-02-10T14:40:31.254,132.44
2017-02-10T14:40:36.291,132.43
2017-02-10T14:40:41.333,132.44
2017-02-10T14:40:46.355,132.44
2017-02-10T14:40:51.392,132.44
2017-02-10T14:40:56.420,132.46
2017-02-10T14:41:01.442,132.47
2017-02-10T14:41:06.472,132.46
2017-02-10T14:41:11.500,132.46
2017-02-10T14:41:16.526,132.46
2017-02-10T14:41:21.544,132.46
2017-02-10T14:41:26.565,132.44
2017-02-10T14:41:31.586,132.47
2017-02-10T14:41:36.618,132.51
2017-02-10T14:41:41.712,132.55
2017-02-10T14:41:46.735,132.56
2017-02-10T14:41:51.759,132.56
2017-02-10T14:41:56.781,132.58
2017-02-10T14:42:01.825,132.58
2017-02-10T14:42:06.853,132.62
2017-02-10T14:42:11.874,132.62
2017-02-10T14:42:16.903,132.61
2017-02-10T14:42:21.938,132.58
2017-02-10T14:42:26.964,132.6
2017-02-10T14:42:31.995,132.6
2017-02-10T14:42:37.036,132.58
2017-02-10T14:42:42.056,132.61
2017-02-10T14:42:47.078,132.62
2017-02-10T14:42:51.352,132.63
2017-02-10T14:42:56.373,132.64
2017-02-10T14:43:01.405,132.65
2017-02-10T14:43:06.435,132.65
2017-02-10T14:43:11.457,132.67
2017-02-10T14:43:16.480,132.67
2017-02-10T14:43:21.503,132.67
2017-02-10T14:43:26.525,132.67
2017-02-10T14:43:31.547,132.67
2017-02-10T14:43:36.573,132.67
2017-02-10T14:43:41.604,132.68
2017-02-10T14:43:46.635,132.69
2017-02-10T14:43:51.667,132.69
2017-02-10T14:43:56.687,132.7
2017-02-10T14:44:02.714,132.75
2017-02-10T14:44:06.732,132.75
2017-02-10T14:44:11.752,132.74
2017-02-10T14:44:16.774,132.74
2017-02-10T14:44:21.792,132.73
2017-02-10T14:44:26.814,132.77
2017-02-10T14:44:31.834,132.75
2017-02-10T14:44:36.857,132.76
2017-02-10T14:44:41.876,132.75
2017-02-10T14:44:46.922,132.76
2017-02-10T14:44:51.948,132.77
2017-02-10T14:44:56.978,132.79
2017-02-10T14:45:02.015,132.74
2017-02-10T14:45:07.049,132.73
2017-02-10T14:45:12.075,132.73
2017-02-10T14:45:17.100,132.71
2017-02-10T14:45:22.142,132.73
2017-02-10T14:45:26.159,132.7
2017-02-10T14:45:31.183,132.72
2017-02-10T14:45:36.205,132.73
2017-02-10T14:45:41.228,132.73
2017-02-10T14:45:46.248,132.73
2017-02-10T14:45:51.275,132.73
2017-02-10T14:45:56.293,132.71
2017-02-10T14:46:01.314,132.71
2017-02-10T14:46:06.333,132.71
2017-02-10T14:46:11.361,132.71
2017-02-10T14:46:16.391,132.7
2017-02-10T14:46:21.417,132.7
2017-02-10T14:46:26.440,132.7
2017-02-10T14:46:31.461,132.68
2017-02-10T14:46:36.524,132.69
2017-02-10T14:46:41.548,132.67
2017-02-10T14:46:46.579,132.65
2017-02-10T14:46:51.605,132.63
2017-02-10T14:46:56.640,132.65
2017-02-10T14:47:01.686,132.66
2017-02-10T14:47:06.706,132.67
2017-02-10T14:47:11.733,132.65
2017-02-10T14:47:16.755,132.63
2017-02-10T14:47:21.778,132.67
2017-02-10T14:47:26.800,132.67
2017-02-10T14:47:31.833,132.68
2017-02-10T14:47:36.857,132.68
2017-02-10T14:47:41.884,132.68
2017-02-10T14:47:46.914,132.68
2017-02-10T14:47:51.940,132.68
2017-02-10T14:47:56.965,132.69
2017-02-10T14:48:01.992,132.69
2017-02-10T14:48:07.025,132.7
2017-02-10T14:48:12.047,132.72
2017-02-10T14:48:17.068,132.73
2017-02-10T14:48:22.090,132.73
2017-02-10T14:48:27.112,132.73
2017-02-10T14:48:31.130,132.73
2017-02-10T14:48:36.157,132.71
2017-02-10T14:48:42.183,132.72
2017-02-10T14:48:46.202,132.73
2017-02-10T14:48:51.226,132.73
2017-02-10T14:48:56.265,132.72
2017-02-10T14:49:02.291,132.72
2017-02-10T14:49:06.316,132.72
2017-02-10T14:49:11.333,132.72
2017-02-10T14:49:16.364,132.71
2017-02-10T14:49:21.385,132.72
2017-02-10T14:49:26.405,132.71
2017-02-10T14:49:31.424,132.71
2017-02-10T14:49:36.445,132.73
2017-02-10T14:49:41.475,132.76
2017-02-10T14:49:46.497,132.76
2017-02-10T14:49:51.518,132.75
2017-02-10T14:49:56.542,132.75
2017-02-10T14:50:01.571,132.74
2017-02-10T14:50:06.595,132.74
2017-02-10T14:50:11.618,132.75
2017-02-10T14:50:16.648,132.74
2017-02-10T14:50:21.670,132.74
2017-02-10T14:50:26.693,132.72
2017-02-10T14:50:31.716,132.73
2017-02-10T14:50:36.739,132.73
2017-02-10T14:50:41.765,132.73
2017-02-10T14:50:46.798,132.73
2017-02-10T14:50:51.833,132.71
2017-02-10T14:50:56.860,132.68
2017-02-10T14:51:01.881,132.7
2017-02-10T14:51:06.902,132.71
2017-02-10T14:51:11.939,132.74
2017-02-10T14:51:16.960,132.75
2017-02-10T14:51:21.982,132.75
2017-02-10T14:51:27.004,132.73
2017-02-10T14:51:32.025,132.73
2017-02-10T14:51:37.047,132.73
2017-02-10T14:51:42.071,132.72
2017-02-10T14:51:47.107,132.75
2017-02-10T14:51:52.137,132.74
2017-02-10T14:51:56.156,132.74
2017-02-10T14:52:02.195,132.75
2017-02-10T14:52:06.226,132.75
2017-02-10T14:52:11.253,132.75
2017-02-10T14:52:16.277,132.75
2017-02-10T14:52:21.303,132.76
2017-02-10T14:52:26.329,132.76
2017-02-10T14:52:31.357,132.8
2017-02-10T14:52:36.382,132.8
2017-02-10T14:52:41.403,132.83
2017-02-10T14:52:46.426,132.85
2017-02-10T14:52:51.447,132.86
2017-02-10T14:52:56.485,132.87
2017-02-10T14:53:01.510,132.89
2017-02-10T14:53:06.554,132.9
2017-02-10T14:53:11.589,132.89
2017-02-10T14:53:16.624,132.84
2017-02-10T14:53:21.659,132.84
2017-02-10T14:53:26.681,132.84
2017-02-10T14:53:31.703,132.86
2017-02-10T14:53:36.737,132.85
2017-02-10T14:53:41.760,132.85
2017-02-10T14:53:46.802,132.86
2017-02-10T14:53:51.832,132.87
2017-02-10T14:53:56.852,132.87
2017-02-10T14:54:01.870,132.87
2017-02-10T14:54:06.893,132.9
2017-02-10T14:54:11.912,132.9
2017-02-10T14:54:16.934,132.91
2017-02-10T14:54:21.957,132.92
2017-02-10T14:54:26.979,132.91
2017-02-10T14:54:32.000,132.92
2017-02-10T14:54:37.028,132.92
2017-02-10T14:54:42.065,132.92
2017-02-10T14:54:47.089,132.93
2017-02-10T14:54:52.115,132.92
2017-02-10T14:54:57.150,132.89
2017-02-10T14:55:02.174,132.85
2017-02-10T14:55:07.203,132.89
2017-02-10T14:55:11.222,132.88
2017-02-10T14:55:16.268,132.86
2017-02-10T14:55:21.289,132.87
2017-02-10T14:55:26.309,132.87
2017-02-10T14:55:31.335,132.87
2017-02-10T14:55:36.376,132.86
2017-02-10T14:55:41.399,132.85
2017-02-10T14:55:46.424,132.85
2017-02-10T14:55:51.446,132.81
2017-02-10T14:55:56.470,132.81
2017-02-10T14:56:01.489,132.81
2017-02-10T14:56:06.523,132.82
2017-02-10T14:56:11.552,132.82
2017-02-10T14:56:16.587,132.81
2017-02-10T14:56:21.612,132.73
2017-02-10T14:56:26.650,132.76
2017-02-10T14:56:31.672,132.76
2017-02-10T14:56:36.694,132.76
2017-02-10T14:56:41.716,132.77
2017-02-10T14:56:46.737,132.8
2017-02-10T14:56:51.765,132.82
2017-02-10T14:56:56.786,132.83
2017-02-10T14:57:01.804,132.83
2017-02-10T14:57:06.832,132.83
2017-02-10T14:57:11.875,132.85
2017-02-10T14:57:16.905,132.85
2017-02-10T14:57:21.945,132.83
2017-02-10T14:57:26.978,132.83
2017-02-10T14:57:32.002,132.82
2017-02-10T14:57:37.021,132.78
2017-02-10T14:57:42.044,132.79
2017-02-10T14:57:47.074,132.73
2017-02-10T14:57:52.115,132.73
2017-02-10T14:57:57.137,132.75
2017-02-10T14:58:02.159,132.75
2017-02-10T14:58:06.186,132.78
2017-02-10T14:58:11.208,132.71
2017-02-10T14:58:16.230,132.73
2017-02-10T14:58:21.286,132.73
2017-02-10T14:58:26.317,132.73
2017-02-10T14:58:31.358,132.73
2017-02-10T14:58:36.389,132.73
2017-02-10T14:58:41.421,132.74
2017-02-10T14:58:46.441,132.75
2017-02-10T14:58:51.464,132.76
2017-02-10T14:58:56.496,132.72
2017-02-10T14:59:01.517,132.72
2017-02-10T14:59:06.539,132.73
2017-02-10T14:59:11.559,132.73
2017-02-10T14:59:16.591,132.74
2017-02-10T14:59:21.611,132.73
2017-02-10T14:59:26.631,132.75
2017-02-10T14:59:31.672,132.76
2017-02-10T14:59:36.693,132.76
2017-02-10T14:59:41.713,132.74
2017-02-10T14:59:46.734,132.74
2017-02-10T14:59:51.754,132.75
2017-02-10T14:59:56.777,132.75
2017-02-10T15:00:01.796,132.74
2017-02-10T15:00:06.867,132.76
2017-02-10T15:00:11.896,132.76
2017-02-10T15:00:16.936,132.76
2017-02-10T15:00:21.958,132.76
2017-02-10T15:00:26.988,132.76
2017-02-10T15:00:32.014,132.74
2017-02-10T15:00:37.035,132.75
2017-02-10T15:00:42.058,132.75
2017-02-10T15:00:47.079,132.73
2017-02-10T15:00:52.099,132.74
2017-02-10T15:00:57.123,132.74
2017-02-10T15:01:02.149,132.72
2017-02-10T15:01:07.179,132.73
2017-02-10T15:01:12.216,132.75
2017-02-10T15:01:16.235,132.75
2017-02-10T15:01:21.258,132.74
2017-02-10T15:01:26.279,132.74
2017-02-10T15:01:31.306,132.72
2017-02-10T15:01:36.350,132.73
2017-02-10T15:01:41.377,132.74
2017-02-10T15:01:46.399,132.72
2017-02-10T15:01:51.422,132.74
2017-02-10T15:01:56.442,132.74
2017-02-10T15:02:01.464,132.72
2017-02-10T15:02:06.495,132.73
2017-02-10T15:02:11.522,132.65
2017-02-10T15:02:16.541,132.67
2017-02-10T15:02:21.563,132.67
2017-02-10T15:02:26.582,132.67
2017-02-10T15:02:31.614,132.68
2017-02-10T15:02:36.650,132.7
2017-02-10T15:02:41.672,132.71
2017-02-10T15:02:46.692,132.71
2017-02-10T15:02:51.716,132.71
2017-02-10T15:02:56.749,132.72
2017-02-10T15:03:01.773,132.7
2017-02-10T15:03:06.796,132.71
2017-02-10T15:03:11.821,132.72
2017-02-10T15:03:16.843,132.72
2017-02-10T15:03:21.863,132.72
2017-02-10T15:03:26.907,132.72
2017-02-10T15:03:31.932,132.75
2017-02-10T15:03:36.961,132.75
2017-02-10T15:03:41.990,132.71
2017-02-10T15:03:47.016,132.71
2017-02-10T15:03:52.050,132.71
2017-02-10T15:03:57.106,132.71
2017-02-10T15:04:02.137,132.71
2017-02-10T15:04:06.305,132.71
2017-02-10T15:04:11.336,132.68
2017-02-10T15:04:16.358,132.66
2017-02-10T15:04:21.377,132.66
2017-02-10T15:04:26.398,132.66
2017-02-10T15:04:31.422,132.67
2017-02-10T15:04:36.456,132.64
2017-02-10T15:04:41.478,132.62
2017-02-10T15:04:46.504,132.62
2017-02-10T15:04:51.523,132.61
2017-02-10T15:04:56.548,132.48
2017-02-10T15:05:01.600,132.51
2017-02-10T15:05:06.643,132.52
2017-02-10T15:05:11.665,132.49
2017-02-10T15:05:16.708,132.48
2017-02-10T15:05:21.727,132.48
2017-02-10T15:05:26.756,132.47
2017-02-10T15:05:31.780,132.47
2017-02-10T15:05:36.813,132.45
2017-02-10T15:05:41.844,132.43
2017-02-10T15:05:46.883,132.4
2017-02-10T15:05:51.904,132.39
2017-02-10T15:05:56.937,132.41
2017-02-10T15:06:01.993,132.45
2017-02-10T15:06:07.022,132.46
2017-02-10T15:06:12.058,132.47
2017-02-10T15:06:17.082,132.47
2017-02-10T15:06:22.100,132.47
2017-02-10T15:06:27.123,132.44
2017-02-10T15:06:32.145,132.42
2017-02-10T15:06:37.172,132.42
2017-02-10T15:06:42.194,132.37
2017-02-10T15:06:46.209,132.39
2017-02-10T15:06:51.241,132.37
2017-02-10T15:06:56.269,132.36
2017-02-10T15:07:01.304,132.31
2017-02-10T15:07:06.343,132.33
2017-02-10T15:07:11.366,132.35
2017-02-10T15:07:16.391,132.37
2017-02-10T15:07:21.427,132.37
2017-02-10T15:07:26.458,132.36
2017-02-10T15:07:31.494,132.37
2017-02-10T15:07:36.516,132.45
2017-02-10T15:07:41.540,132.44
2017-02-10T15:07:46.560,132.45
2017-02-10T15:07:51.593,132.41
2017-02-10T15:07:56.657,132.38
2017-02-10T15:08:01.682,132.35
2017-02-10T15:08:06.705,132.35
2017-02-10T15:08:11.734,132.36
2017-02-10T15:08:16.766,132.32
2017-02-10T15:08:21.791,132.33
2017-02-10T15:08:26.813,132.31
2017-02-10T15:08:31.836,132.31
2017-02-10T15:08:36.857,132.31
2017-02-10T15:08:41.882,132.32
2017-02-10T15:08:46.901,132.32
2017-02-10T15:08:51.924,132.31
2017-02-10T15:08:56.946,132.32
2017-02-10T15:09:01.975,132.32
2017-02-10T15:09:06.997,132.32
2017-02-10T15:09:12.027,132.33
2017-02-10T15:09:17.070,132.33
2017-02-10T15:09:22.104,132.33
2017-02-10T15:09:27.139,132.33
2017-02-10T15:09:32.167,132.34
2017-02-10T15:09:37.188,132.34
2017-02-10T15:09:41.205,132.34
2017-02-10T15:09:46.260,132.34
2017-02-10T15:09:51.292,132.31
2017-02-10T15:09:56.317,132.27
2017-02-10T15:10:01.341,132.28
2017-02-10T15:10:06.395,132.28
2017-02-10T15:10:11.417,132.28
2017-02-10T15:10:16.461,132.26
2017-02-10T15:10:21.484,132.27
2017-02-10T15:10:26.518,132.23
2017-02-10T15:10:31.539,132.23
2017-02-10T15:10:36.558,132.21
2017-02-10T15:10:41.586,132.23
2017-02-10T15:10:46.613,132.24
2017-02-10T15:10:51.634,132.24
2017-02-10T15:10:56.657,132.24
2017-02-10T15:11:01.686,132.24
2017-02-10T15:11:06.708,132.24
2017-02-10T15:11:11.732,132.24
2017-02-10T15:11:16.755,132.22
